DATE,CLOSE,OPEN,VWAP,LOW,HIGH,NO OF TRADES
22/05/2018,253.9,243.65,250.57,241.0,259.7,363023
23/05/2018,263.2,254.65,265.25,254.3,269.75,422897
24/05/2018,268.5,263.85,266.17,260.65,269.7,184520
25/05/2018,266.95,267.8,265.26,262.55,268.4,135789
28/05/2018,272.05,267.4,270.84,266.05,274.2,134180
29/05/2018,264.3,270.5,266.1,262.8,270.95,115411
30/05/2018,267.15,260.5,264.32,259.95,268.0,108400
31/05/2018,269.55,266.85,267.78,263.15,274.8,152047
01/06/2018,266.7,269.25,266.65,264.6,269.8,130807
04/06/2018,263.0,268.0,264.38,261.3,268.35,88328
05/06/2018,263.55,260.9,263.48,260.9,265.25,121807
06/06/2018,270.15,263.0,267.41,262.2,271.4,138946
07/06/2018,269.65,271.05,270.87,268.4,272.9,116128
08/06/2018,273.0,268.95,270.5,267.0,273.9,93897
11/06/2018,274.0,273.3,276.37,273.15,278.4,141047
12/06/2018,282.85,274.0,279.19,274.0,284.4,214059
13/06/2018,287.7,284.0,287.25,283.65,289.65,252647
14/06/2018,282.6,286.55,282.97,281.3,286.55,123178
15/06/2018,277.45,282.75,279.23,276.6,283.45,116041
18/06/2018,276.85,278.0,277.04,275.45,279.75,113699
19/06/2018,272.6,276.0,273.05,269.75,276.7,112990
20/06/2018,273.3,273.2,273.0,271.1,274.75,99962
21/06/2018,268.65,274.75,270.59,268.1,274.75,118737
22/06/2018,273.05,269.0,270.13,265.75,273.7,189076
25/06/2018,268.45,271.85,270.3,267.2,273.15,90277
26/06/2018,267.4,267.25,268.27,265.4,271.2,105136
27/06/2018,261.7,267.35,263.58,261.0,267.35,96681
28/06/2018,257.0,260.4,258.17,255.7,262.0,123640
29/06/2018,259.35,258.25,260.91,258.2,263.45,158728
02/07/2018,258.85,258.95,257.62,254.0,261.75,125980
03/07/2018,257.5,259.6,258.07,256.4,260.9,92458
04/07/2018,257.45,255.75,256.66,254.5,258.35,100359
05/07/2018,256.45,257.9,256.98,255.15,258.7,80185
06/07/2018,257.2,256.1,258.29,255.55,260.8,129539
09/07/2018,261.55,258.2,260.67,257.95,262.4,108471
10/07/2018,263.75,263.85,264.4,262.4,265.75,97898
11/07/2018,259.1,262.65,259.68,257.9,262.65,82878
12/07/2018,262.75,261.4,263.07,261.15,264.5,89222
13/07/2018,257.75,262.1,258.26,256.8,262.4,86192
16/07/2018,251.6,257.0,253.33,251.0,257.5,69096
17/07/2018,259.05,250.7,254.84,250.45,259.85,130839
18/07/2018,259.55,260.1,259.11,256.15,262.5,104122
19/07/2018,260.2,259.4,260.67,256.2,263.5,73048
20/07/2018,261.5,259.9,261.28,258.55,263.0,48921
23/07/2018,266.35,262.0,263.69,260.6,267.5,90699
24/07/2018,266.85,267.2,267.44,265.55,269.2,90287
25/07/2018,271.85,268.0,269.11,265.65,272.85,102919
26/07/2018,287.7,275.1,283.14,274.2,289.4,310433
27/07/2018,286.75,289.5,290.46,285.1,297.0,220319
30/07/2018,297.4,289.2,296.67,289.2,299.55,268957
31/07/2018,293.5,297.0,296.17,291.8,302.4,254603
01/08/2018,295.1,294.5,292.95,288.35,298.0,181159
